author_display,decade,message_count
Kamal Adhikary,1990s,33
Kamal Adhikary,2000s,4
Kamal R. Adhikary,1990s,7
Kamal Raj Adhikary,1990s,3
Kamal Raj Adhikary,2000s,2
Kamala,1990s,4
"Kambhampaty, Krishna",1990s,2
Kandiah Ramanitharan,1990s,1
Karen Fernandes,1990s,1
Karen O'Brien- Kop,2020s,1
Karen O'Brien-Kop,2010s,12
Karen O'Brien-Kop,2020s,7
Karen Ready,2000s,1
Karin.Preisendanz,2000s,5
Karin.Preisendanz,2010s,6
Karin.Preisendanz,2020s,14
Karina Bingham,1990s,1
Karl Stephan Bouthillette [MAHE],2020s,3
Karl-Stephan Bouthillette,2010s,2
Karl-Stephan Bouthillette,2020s,9
"Karttunen, Klaus J",2010s,6
"Karttunen, Klaus J",2020s,9
Katharina Heinrich,1990s,1
Katharina Kupfer,1990s,3
Katharina Kupfer,2000s,7
Katharina Malkawi,1990s,3
Katherine B Martineau,1990s,2
Katherine Eirene Ulrich,1990s,2
Katherine Harper,2000s,2
Katherine K. Brobeck,2000s,6
Kathleen Longwaters,2010s,2
Kathleen Marie Longwaters,2010s,3
Kathrin Holz,2020s,2
Katja Hofmann,1990s,8
Katrin Binder,2010s,2
Kattaikkuttu Sangam,2010s,1
Kaushik Bhaumik,2000s,1
Kazunobu Matsuda,1990s,1
Keerthi Kumar,1990s,3
Keijo Virtanen,1990s,1
Keisuke NAGATA,1990s,3
Kellner,1990s,8
"Kellner, Birgit",2010s,15
Ken Robbins,2010s,2
Kendra Crossen Burroughs,2000s,3
Kengo Harimoto,1990s,6
Kengo Harimoto,2000s,44
Kengo Harimoto,2010s,8
Kengo Harimoto,2020s,3
Kenji Takahashi,2020s,2
Kenneth G. Zysk,1990s,19
Kenneth Gregory Zysk,2010s,42
Kenneth Gregory Zysk,2020s,32
Kenneth Johnson,2020s,1
Kenneth Zysk,1990s,2
Kenneth Zysk,2000s,50
Kenneth Zysk,2010s,27
Kern Institute Library,1990s,1
Kern Library,1990s,1
Kerry M. Skora,1990s,2
Kerry Martin Skora,1990s,4
Ketan Kalyansingh,1990s,1
Kevin M. Ryan,2010s,5
Kevin McGrath,1990s,9
Kevin McGrath,2000s,2
Kie Pue,2020s,11
King Chung Lo (PHI),2020s,3
Kishore Krishna,1990s,1
Kishore Krshna,1990s,9
Kittipong James Vongagsorn,2020s,1
Kiyotaka Yoshimizu,2010s,1
Kiyotaka Yoshimizu,2020s,3
Klaus Karttunen,1990s,59
Klaus Karttunen,2000s,47
Klaus Karttunen,2010s,61
Klemens Karlsson,1990s,1
Koenraad Elst,1990s,29
Koenraad Elst,2000s,47
Koenraad Elst,2010s,11
Kowshika Ramaprasad,1990s,6
"Krause, Dr. Anett",2020s,6
Krishna Kalale,1990s,6
Krishna Kalale,2000s,5
Krishna P Konduru,1990s,8
Krishna R,2000s,2
Krishna Susarla,1990s,7
Krishna-kripa das,2000s,1
Krishnaprasad G,2010s,181
Krishnaprasad G,2020s,60
Kristen Anne Hardy,1990s,7
Kristen Hardy,1990s,7
Kristi Wiley,1990s,3
Kshitij Jain,2020s,1
Kulkarni Sunil Suresh (ME),1990s,1
Kumar,2000s,5
Kumar Kumarappan,2000s,2
Kumar at pixie.udw.ac.za,1990s,14
Kumara Henadeerage,1990s,1
Kupfer,2000s,1
Kush Depala,2010s,1
Kush Depala,2020s,17
Kusuma Cunningham,1990s,1
Kusuma Cunningham,2000s,1
L S Cousins,1990s,2
L. A. Nadybal,2000s,2
L. Suresh Kumar-LSK,2000s,24
L.M.Fosse at internet.no,1990s,12
L.S. Cousins,1990s,10
L.S. Cousins,2000s,15
L.S. Cousins,2010s,13
L.S.Cousins,1990s,28
L.S.Cousins,2000s,46
LD5,1990s,1
LEHMANN at VAX2.CONCORDIA.CA,1990s,4
LEON Goldman,2000s,1
LEON Goldman,2010s,1
LESTER ROBERT C,1990s,2
LEVINESA at HUGSE1.HARVARD.EDU,1990s,1
LGoehler at aol.com,1990s,9
LINDA HEDRICK,1990s,1
LR1,1990s,1
LRAK543 at EDU.UTEXAS.CC.UTXVMS,1990s,1
LUSTHAUS at macalstr.edu,1990s,6
LYAA101 at EARN.UTXVM,1990s,1
LaDeane,1990s,1
Lakshmi Srinivas,1990s,49
Lakshmi Srinivas,2000s,57
Lakshminarayan Iyer,1990s,1
Lalita du Perron,1990s,2
Lambodara,2000s,4
Lance Nelson,1990s,57
Lance Nelson,2000s,13
Lance Nelson,2010s,3
Lars Goehler,1990s,1
Lars Goehler,2000s,2
Lars Martin Fosse,1990s,463
Lars Martin Fosse,2000s,298
Lars Martin Fosse,2010s,23
Laura Harrington,2010s,4
Lauren Bausch,2010s,3
Lauren Bausch,2020s,13
Laurie L. Patton,1990s,6
Laurie Patton,1990s,12
Lavanya Vemsani,2010s,31
Lavanya Vemsani,2020s,33
Lawrence J. McCrea,1990s,4
Lawrence McCrea,2000s,1
Lawrence Mccrea,2000s,3
Lea Stiller,2020s,2
Lee Ling Ting,2020s,12
Lee Schlesinger,1990s,2
Lennart Warnemyr,1990s,1
Leo Facq,1990s,7
LeoFacq,1990s,1
Leon Fernando Del Canto,1990s,3
Leon Goldman,2010s,1
Leona Anderson,1990s,4
Leona Anderson,2000s,3
Leonard Van Der Kuijp,1990s,3
Leonard Zwilling,1990s,7
Leonard Zwilling,2000s,1
Leonid I. Kulikov,1990s,1
Leslaw Borowski,1990s,10
Lidia Wojtczak,2010s,10
Lidia Wojtczak,2020s,4
Lidova Natalia,2010s,1
Lielukhine D.N.,2000s,13
Linda Laurence,1990s,3
"Lindquist, Steven",2000s,2
"Lindquist, Steven",2010s,56
"Lindquist, Steven",2020s,15
Liwen Liu,2020s,1
"Longwaters, Kathleen",2020s,1
Loreli Balraj,1990s,1
Loriano Belluomini,2000s,1
Loriliai Biernacki,1990s,14
Loriliai Biernacki,2000s,8
Loriliai Biernacki,2010s,15
Loriliai Biernacki,2020s,4
Louis Fenech,1990s,2
"Lubin, Tim",2000s,2
"Lubin, Tim",2010s,128
"Lubin, Tim",2020s,80
Lubomir Ondracka,1990s,6
Lubomir Ondracka,2000s,10
Lubomir Ondracka,2010s,33
Lubomír Ondračka,2010s,59
Lubomír Ondračka,2020s,108
Luca Piscopo,2020s,2
Lucas den Boer,2010s,4
Lucian Wong,2020s,6
Lucy May Constantini,2020s,4
Ludo,1990s,1
Ludovico Magnocavallo,1990s,2
Luis Arnold Gonzalez-Reimann,1990s,20
Luis Gonzalez-Reimann,1990s,101
Luis Gonzalez-Reimann,2000s,81
Luis Gonzalez-Reimann,2010s,43
Luis Gonzalez-Reimann,2020s,2
Lukas Werth,2000s,6
Lyne BANSAT-BOUDON,2010s,8
Lyne Bansat-Boudon,2010s,3
Lyne Bansat-Boudon,2020s,75
Lynken Ghose,2000s,30
Lynn Foulston,1990s,3
Lynne Cohen Duncan,1990s,1
M. Dallas Reddick,1990s,1
M. Tandy,1990s,6
M. Tandy,2000s,2
"M.H. KLAIMAN, ENGLISH & LINGUISTICS, INDIANA-PURDUE U.-FT. WAYNE",1990s,11
MACDONALD.ANNE,1990s,1
"MAGGI, Mauro",1990s,3
"MAGGI, Mauro",2000s,1
MALHAR KULKARNI,2020s,1
MAMCGEE at vaxsar.vassar.edu,1990s,5
"MARCUS BANKS, ISCA, OXFORD",1990s,3
MC1 at AOL.COM,1990s,1
MDSAAA48 at GIASMD01.VSNL.NET.IN,1990s,18
MDSAAA48 at giasmd01.vsnl.net.in,1990s,4
MERRY.B at EDU.UTEXAS.CC.UTXVM,1990s,1
MERRY.B at UTXVM.CC.UTEXAS.EDU,1990s,1
MESSAGE AGENT,1990s,1
MICHAEL STRANGELOVE,1990s,1
MILESM at ibm3090.computer-centre.birmingham.ac.uk,1990s,3
MLBD,1990s,2
MLBD,2000s,5
MR GARTH JOHN MASON,1990s,1
MR VENKATESH NARAYAN,1990s,1
MR.V.S.MURALI,1990s,1
Maarten Bode,2020s,2
MacMagic at aol.com,1990s,2
Maciej St. Zieba,2000s,3
Maciej St. Ziêba,2000s,2
Maddalena Italia,2020s,2
Madhav Deshpande,1990s,267
Madhav Deshpande,2000s,171
Madhav Deshpande,2010s,926
Madhav Deshpande,2020s,524
Madhav M. DEshpande,2000s,1
Madhav M. Deshpande,2000s,16
Magnone Paolo,2010s,1
Mahabaleshwar Bhat,2000s,1
"Mahadevan, Thennilapuram",2000s,15
"Mahadevan, Thennilapuram",2010s,4
Mahalingam Rajagopalan,1990s,1
Mahendra Jain,2000s,2
Mahendra Kumar Mishra,2000s,27
Mahendra Kumar Mishra,2010s,9
Mahendra Verma,1990s,8
Mahes Raj Pant,2000s,16
Mahes Raj Pant,2010s,7
Mahesh,1990s,3
Mahesh,2000s,1
Mahesh Shah,1990s,1
Maheswaran Nair,2000s,49
Maheswaran Nair,2010s,3
Mahinda Palihawadana,2000s,4
"Mahoney, Richard B",1990s,4
"Mahoney, Richard B.",1990s,1
"Mahoney, Richard B.",2000s,3
"Mahony, Bill",2000s,9
"Mahony, Bill",2010s,1
"Mahony, Bill",2020s,2
"Mahony, William K.",2000s,1
Mail Delivery Subsystem,1990s,1
MailmanLists Support,2020s,2
Maitrimurti,1990s,3
Mak P Makielan,1990s,1
Makoto FUSHIMI,2000s,4
Makoto Fushimi,1990s,1
Malay K Bagchi,1990s,1
Malay K. Bagchi,1990s,2
Malcolm Keating,2010s,11
Malcolm Keating,2020s,5
Malgorzata Sulich,2020s,1
Malgorzata Wielinska-Soltwedel,2020s,4
Malhar Arvind Kulkarni,2010s,14
Malhar Kulkarni,2020s,5
Manasicha Akepiyapornchai,2020s,1
Mandakranta Bose,1990s,20
Mandakranta Bose,2000s,8
Mani Varadarajan,1990s,68
Maniambalam Arasu,2000s,4
Manish Rajan Walvekar,2020s,24
Manisha Singal,1990s,4
Manjit Trehan,1990s,1
Manjushree Hegde,2010s,8
Manjushree Hegde,2020s,4
Manoj Kumar Mishra,1990s,1
Manoje Jain,1990s,1
"Manring, Rebecca",2000s,13
"Manring, Rebecca",2010s,4
Mantra Corporation,1990s,5
Manu Francis,2010s,81
Manu Francis,2020s,27
Maran Kathirchelvan,2000s,6
Marc Lücke,2010s,1
Marcis Gasuns,2010s,1
Marco Ferrante,2020s,7
Marco Franceschini,2000s,4
Marco Franceschini,2010s,34
Marco Franceschini,2020s,45
Margo Romberg,1990s,3
Margo von Romberg,1990s,1
Mariana Caixeiro,1990s,27
Mariana Caixeiro,2000s,1
Mariana caixeiro,1990s,1
Marianna Kropf,1990s,11
Marie Genevieve Guesdon,1990s,14
Marie-Hélène Gorisse,2000s,2
Marie-Hélène Gorisse,2010s,3
Marie-Hélène Gorisse,2020s,6
Marilyn L. Sarelas,1990s,1
Marina Orelskaya,2010s,2
Mario Eduardo Viaro,1990s,1
Marion Rastelli,2000s,8
Mark Allon,1990s,2
Mark Allon,2000s,22
Mark Allon,2010s,13
Mark Allon,2020s,19
Mark F. Tritsch,1990s,11
Mark Froelich,1990s,2
Mark Froelich,2000s,1
Mark McClish,2010s,16
Mark McClish,2020s,10
Mark McLaughlin,2010s,6
Mark McLaughlin,2020s,5
Mark Phillips,2000s,3
Mark Singleton,2000s,3
Mark Singleton,2010s,6
Markus Viehbeck,2010s,1
Markus Viehbeck,2020s,1
Martin Bemmann,1990s,16
Martin Bemmann,2000s,4
Martin Delhey,2000s,11
Martin Epstein,1990s,10
Martin Gaenszle,1990s,1
Martin Gansten,1990s,69
Martin Gansten,2000s,85
Martin Gansten,2010s,169
Martin Gansten,2020s,57
Martin Gluckman,2010s,30
Martin Gluckman,2020s,18
Martin Hribek,2000s,1
Martin Joachim Kümmel,2010s,1
Martin Joachim Kümmel,2020s,5
Martin Straube,2000s,7
Martin Straube,2010s,7
Martin Straube,2020s,22
Mary McGee,1990s,8
Mary Storm,1990s,44
Mary Storm,2000s,17
Mary Storm,2010s,26
Marzena Magnuszewska,1990s,4
Marzenna Czerniak-Drozdzowicz,1990s,1
Masataka Murakami,1990s,1
Masato FUJII,1990s,3
Masato FUJII,2010s,2
Masato Fujii,1990s,5
Mathias Metzger,2000s,6
Mathieu Boisvert,1990s,4
Mathieu Latapy,1990s,4
Mathieu Latapy,2000s,1
Matsumura,1990s,7
Matsumura,2000s,3
Matthew Clark,2010s,4
Matthew Clark,2020s,4
Matthew D. Milligan,2020s,2
Matthew Kapstein,2000s,85
Matthew Kapstein,2010s,409
Matthew Kapstein,2020s,311
Matthew Milligan,2010s,2
Matthew Milligan,2020s,3
Matthew Robertson,2020s,7
Matthew Scarborough,2010s,5
Matthew Scarborough,2020s,1
Matthieu LATAPY,1990s,1
Maureen,1990s,1
Maureen Donovan,1990s,1
Maureen Fadem,1990s,4
Mauricio Najarro,2020s,3
Mauro MAGGI,1990s,1
Mavis Fenn,1990s,1
Max,1990s,3
Max Langley,1990s,8
Max.Nihom at oeaw.ac.at,1990s,25
Maximilian Mehner,2010s,1
Maximilian Mehner,2020s,3
"McClintock, Sara L",2020s,2
"McClish, Mark Richard",2010s,3
McComas Taylor,2000s,76
McComas Taylor,2010s,87
McComas Taylor,2020s,68
McComas.Taylor at ANU.EDU.AU,2000s,2
"McGee, Mary",2010s,1
"McGrath, Kevin",2010s,6
"McGrath, Kevin",2020s,2
Meenakshi Bauri,2000s,2
Meenaradchagan Vishnu,1990s,3
"Mehner, Maximilian | GRETIL",2010s,27
"Mehner, Maximilian | GRETIL",2020s,3
"Mehta, Shailendra",1990s,6
"Mehta, Shailendra",2000s,2
Melinda Fodor,2020s,2
Member of INDOLOGY (Janet at waldzell.demon.co.uk),1990s,1
Member of INDOLOGY (Jyotishi),1990s,1
Menon,2000s,2
Mi. Witzel,2000s,5
Michael,2020s,1
Michael Allen,2010s,1
Michael Brattus Jones,2010s,10
Michael Brattus Jones,2020s,4
Michael Broyde,1990s,1
Michael Everson,1990s,21
Michael Everson,2000s,3
Michael Fiden,2020s,4
Michael Gollner,2020s,1
Michael Hahn,2000s,20
Michael Hahn,2010s,10
Michael Ian Doliveck,1990s,3
Michael J. Sweet,1990s,10
Michael J. Wilson,1990s,1
Michael March,1990s,1
Michael Pahlke,1990s,4
Michael Rabe,1990s,57
Michael Radich,2010s,2
Michael Shapiro,1990s,13
Michael Slouber,2000s,7
Michael Slouber,2010s,49
Michael Slouber,2020s,1
Michael Wescoat,1990s,1
Michael Williams,2010s,11
Michael Williams,2020s,1
Michael Witzel,1990s,163
Michael Witzel,2000s,284
Michael Witzel,2010s,60
Michael Zimmermann,2000s,6
Michael Zimmermann,2010s,4
Michael.Slouber at wwu.edu,2020s,3
Michaels Axel,1990s,2
"Michaels, Axel",2010s,29
"Michaels, Axel",2020s,6
"Michaels, Prof. Dr. Axel",2020s,16
Michaël Meyer,2010s,1
Michaël Meyer,2020s,7
Michel Angot,2010s,2
Michio YANO,2000s,14
Michio Yano,1990s,8
Michio Yano,2000s,10
Michio Yano,2010s,3
Miguel Carrasquer Vidal,1990s,81
Mikael Aktor,1990s,25
Mikael Aktor,2000s,3
Mike Dunker,1990s,1
Mike Korvink,2000s,1
Milton Eder,1990s,1
Mimi Klaiman,1990s,1
Mirajkar,2000s,1
Mircea-Radu Luchianov,1990s,1
Miroslav Rozehnal,1990s,9
Miroslav Rozehnal,2000s,3
"Mishra, Prasanna K., Ph.D.",1990s,1
Miska Pruszowska,2000s,6
Mitra Ara,2000s,2
Mitsuru Ando,1990s,1
Mittal Sushil,1990s,81
"Mittal, Sushil - mittalsx",2020s,1
Mizue Sugita,1990s,3
Mm1008 at aol.com,1990s,1
Mohan Vedantha Chari,1990s,3
Mohkamsing,1990s,1
Monika Nowakowska,2000s,1
Monika Pemwieser,1990s,1
"Moore Gerety, Finnian",2010s,4
"Moore Gerety, Finnian McKean",2010s,4
Motilal Banarasidass Publishers,2000s,1
Motilal Banarsidass,2000s,11
Motilal Banarsidass Publishers,1990s,1
Motilal Banarsidass Publishers,2000s,1
Mr A.J. Thew,1990s,4
Mr B. Philip Jonsson,1990s,1
Mr G Radja,1990s,1
Mr M.H. Barker,1990s,1
Mr. Jitendra B. Shah,2000s,1
Mr. M.M. AGRAWAL,2000s,2
Mrinal Kaul,2000s,5
Mrinal Kaul,2010s,110
Mrinal Kaul,2020s,37
Muhammed Suleiman,1990s,2
Muneo TOKUNAGA,1990s,4
Muneo TOKUNAGA,2000s,15
Muneo Tokunaga,1990s,11
Muneo Tokunaga,2000s,8
Murali.Srinivasan at Eng.Sun.COM,1990s,1
Mustafah Dhada,1990s,2
Myanghee Cha,1990s,2
MytraeM at aol.com,1990s,1
Mārcis Gasūns,2010s,4
Mārcis Gasūns,2020s,22
N. C. Much,1990s,1
N. Ganesan,1990s,878
N. Ganesan,2000s,248
N. Iyanaga,1990s,1
N.Ganesan,1990s,28
N.Mirnig,2010s,1
N.N.,1990s,4
NAYAK Anand,2000s,15
NEIS at automation.university-library.cambridge.ac.uk,1990s,5
NJ Allen,1990s,1
NK,2020s,4
NKP veera,2000s,5
NKP verra,2000s,2
NOZAWA Masanobu,1990s,3
Nadejda Moiseeva,1990s,3
Nagaraj Paturi,2010s,626
Nagaraj Paturi,2020s,206
Nalini Balbir,2020s,2
Namrata Bose,1990s,6
Namrata Bose,2000s,1
Nandu Abhyankar,1990s,1
Nanjunda.Somayaji at Corp.Sun.COM,1990s,1
Naomi Appleton,2010s,4
Naomi Sato,1990s,1
Narahari Achar,1990s,19
Narahari Achar,2000s,7
Narahari Rao,1990s,6
Narayan R. Joshi,2000s,35
Narayan R.Joshi,2000s,34
Narayan S. Raja,1990s,120
Narayan S. Raja,2000s,14
Narayan Sriranga Raja,2000s,5
Narenderan,2010s,6
Narenthiran R,2010s,8
Narenthiran R,2020s,3
Nariman Aavani,2020s,2
NarinderpalSinghThethi,1990s,1
Nasadasin,2010s,1
Naseem Hines,1990s,13
Naseem Hines,2000s,6
Nataliya Yanchevskaya,2010s,5
Nataliya Yanchevskaya,2020s,26
Natasja Bosma,2010s,1
"Nathan Katz, University of South Florida",1990s,16
Nathan M. McGovern,2010s,1
Nathan McGovern,2010s,5
Nathan McGovern,2020s,7
Natālija Burišina,2020s,3
Navjyoti Singh,2000s,2
"Neill, Tyler",2010s,1
"Nemec, John William (jwn3y)",2010s,1
"Nemec, John William (jwn3y)",2020s,24
"Nemec, John William (nemec) (jwn3y)",2010s,3
Nenninger.Wilden at t-online.de,1990s,2
"Newman, John",2000s,2
Ngilcach at aol.com,1990s,2
Nic Newton,2020s,1
Nicholas Bedworth,1990s,9
Nicholas Ostler,1990s,1
Nicholas Sterling,1990s,2
Nick Allen,2010s,2
Nicola Pozza,2010s,1
Nicola Pozza,2020s,3
Nicole Karapanagiotis,2010s,4
Nicole Karapanagiotis,2020s,3
Nik Macleod,1990s,3
Nikhil Rao,1990s,15
Nikhil Rao,2000s,6
Nina Mirnig,2000s,2
Nina Mirnig,2010s,2
Nina Mirnig,2020s,12
Nina Srinath,1990s,1
Niranjan Saha,2010s,45
Niranjan Saha,2020s,2
Nithin Mettu,1990s,1
Nithin Reddy Mettu,1990s,3
Nityanand Misra,2010s,101
Nivedita Rout,2000s,5
Nivedita Rout,2010s,8
Nobumi Iyanaga,1990s,17
Nobumi Iyanaga,2000s,8
Noel A. Salmond,1990s,1
Noel Evans,1990s,2
Noel Salmond,1990s,9
Noel Salmond,2000s,4
Noemie Verdon,2010s,2
Noorjahan Begum,2000s,4
Nozawa Masanobu,1990s,5
Nozawa Masanobu,2000s,1
Nupam P Mahajan,1990s,1
"O'Brien- Kop, Karen",2020s,1
O. Freiberger,1990s,1
OLIVELLE at EDU.INDIANA.UCS,1990s,1
ORACLE at wl.aecl.ca,1990s,4
ORR at Vax2.Concordia.CA,1990s,1
Ofer Peres,2010s,8
Ofer Peres,2020s,6
Oguibenine,1990s,2
Ole Alstrup,1990s,1
Oleg Bendz,2010s,4
Oleg Bendz,2020s,2
Olenev Dmitry,2000s,1
Olga Nowicka,2010s,6
Olga Nowicka,2020s,2
"Olivelle, J P",2010s,232
"Olivelle, J P",2020s,60
"Olivelle, Joseph P",2020s,2
Oliver Fallon,2000s,6
Oliver Fallon,2010s,10
Oliver Fallon,2020s,14
Oliver Frey,2010s,1
Oliver Frey,2020s,3
Oliver Hellwig,2000s,8
Oliver Hellwig,2010s,51
Oliver Hellwig,2020s,53
Oliver.Freiberger at uni-bayreuth.de,1990s,1
Olivia Cattedra,2000s,10
Olle Qvarnström,2000s,1
Olle Qvarnström,2010s,3
Olli-Pekka Littunen,2020s,4
Om Sharma,1990s,1
Omar Abu Dbei,2010s,2
Omar Abu Dbei,2020s,2
Omar Jedi,2000s,1
Omar Khan,1990s,1
Omkar Supekar,2020s,1
Opal Awk,1990s,1
Ophira Gamliel,2020s,1
"Osto, Douglas",2000s,3
"Osto, Douglas",2010s,1
Ozge OZBEK,1990s,1
Ołena Łucyszyna,2020s,2
P. Anand,2000s,4
P. Cooper,1990s,8
P. Filliozat,1990s,1
P.C. Bisschop,2000s,4
P.G.Moore at ukc.ac.uk,1990s,4
P.Magnone at agora.stm.it,1990s,12
P.Vlugter,1990s,1
PD Dr. Heike Oberlin,2010s,9
PETERG at EDU.UMICH.ICPSR.ICPSR,1990s,1
PHIEF at LURE.LATROBE.EDU.AU,1990s,1
PHIL013 at csc.canterbury.ac.nz,1990s,2
PHIL029 at csc.canterbury.ac.nz,1990s,4
PHILMOS at VAX2.CONCORDIA.CA,1990s,1
PHILMOS at Vax2.Concordia.CA,1990s,1
PROF. BH. KRISHNA MURTHY,1990s,3
PROF. BH. KRISHNAMURTI,1990s,2
PWilliams at UH.EDU,1990s,2
Palaniappa,1990s,70
Palaniappa at aol.com,1990s,103
Palash Jyoti Mazumdar,2000s,3
Palash Mazumdar,2000s,1
Paliath Narendran,1990s,16
Pam Lothspeich,2000s,1
Pamela Lyon,1990s,2
Pankaj Jain,2000s,23
Pankaj Jain,2010s,8
Pankaj Jain,2020s,2
Pankaj Jain पंकज जैन,2010s,6
Pankaj Sukanraj Jain पंकज सुकनराज जैन,2020s,25
Pankaj_Jain,2010s,1
Pankaja Ganapathy,2020s,11
Paolo E. Rosati,2020s,25
Paolo Eugenio Rosati,2010s,102
Paolo Eugenio Rosati,2020s,40
Paolo Magnone,1990s,16
Paolo Magnone,2000s,6
Paolo Magnone,2010s,21
Paolo Magnone,2020s,1
Paolo Pianarosa,1990s,1
Parameswara Aithal,1990s,1
Paras Mehta,2020s,4
Partha Banerjee,1990s,39
Pascale Didier,1990s,2
Pascale Haag,2000s,6
Pascale Haag,2010s,3
Pascale Haag Bernede,2000s,5
"Pasedach, Dr. Peter",2020s,1
Pat Williams,1990s,4
Pathompong Bodhiprasiddhinand,2000s,4
Pathompong Bodhiprasiddhinand,2010s,3
"Patil, Parimal",2010s,1
Patricia Greer,2000s,2
Patricia Meredith Greer,1990s,20
Patricia Meredith Greer,2000s,9
Patricia SAUTHOFF,2010s,1
Patricia SAUTHOFF,2020s,26
Patricia Sauthoff,2010s,21
Patricia Sauthoff,2020s,21
Patricio Nelson,1990s,1
Patrick Lanaghan,1990s,2
Patrick McAllister,2010s,4
Patrick McAllister,2020s,5
Patrick McReynolds 3102081070,1990s,1
Patrick Mccartney,2010s,4
Patrick Olivelle,2000s,102
Patrick Olivelle,2010s,153
Patrick Olivelle,2020s,65
Patrick Zeitlhuber,2020s,2
Patrik Nyman,1990s,2
Patte at math-info.univ-paris5.fr,1990s,1
Paul (Kekai) Manansala,1990s,10
Paul B. Courtright,1990s,5
Paul Dundas,1990s,1
Paul G. Hackett,2000s,21
Paul G. Hackett,2010s,10
Paul Gerstmayr,2010s,3
Paul Hacket,2020s,1
Paul Hackett,2010s,21
Paul Hackett,2020s,13
Paul K. Manansala,1990s,49
Paul Kekai Manansala,1990s,146
Paul Kekai Manansala,2000s,64
Paul Kiparsky,1990s,8
Paul Kiparsky,2000s,12
Paul Kiparsky,2010s,2
Paul Muller,1990s,1
Paul Pearsons,1990s,1
Paul Thomas,2020s,7
Pauline Schuster-Löhlau,2020s,1
Pavankumar Satuluri,2020s,1
Pavel Hons,2020s,2
Paweł Ulbrych (Poland),1990s,3
"Pecchia, Cristina",2020s,1
Penny Edwards,2010s,2
Per Kværne,2000s,1
Per-Johan Norelius,2010s,2
Per-Johan Norelius,2020s,8
Periannan Chandrasekaran,1990s,47
Periannan Chandrasekaran,2000s,43
Periannan Chandrasekaran,2020s,13
Peter,2000s,2
Peter Bisschop,2000s,11
Peter Bisschop,2010s,1
Peter D Banos,1990s,37
Peter Fl ügel,2000s,1
Peter Flugel,1990s,6
Peter Flugel,2000s,33
Peter Flugel,2010s,45
Peter Flugel,2020s,22
Peter Freund,1990s,1
Peter Freund,2000s,6
Peter Friedlander,1990s,6
Peter Friedlander,2000s,19
Peter Friedlander,2010s,9
Peter Friedlander,2020s,1
Peter Gaeffke,1990s,16
Peter Granda,1990s,3
Peter J. Claus,1990s,63
Peter M. Scharf,1990s,1
Peter M. Scharf,2000s,30
Peter M. Scharf,2010s,1
Peter Masefield,1990s,1
Peter Mukunda Pasedach,2010s,12
Peter Mukunda Pasedach,2020s,2
Peter Nicholas SA2CI 80420,1990s,1
Peter North,1990s,4
Peter Pasedach,2020s,7
Peter Sargent,1990s,1
Peter Schalk,1990s,2
Peter Schalk,2000s,1
Peter Scharf,2000s,3
Peter Scharf,2010s,21
Peter Scharf,2020s,54
Peter Schreiner,1990s,9
Peter Schreiner,2000s,5
Peter Schreiner,2010s,7
Peter Szanto,2010s,1
Peter Wyzlic,1990s,16
Peter Wyzlic,2000s,100
Peter Wyzlic,2010s,59
Peter Wyzlic,2020s,21
Peter.Schalk at relhist.uu.se,1990s,3
Peter_Granda at EDU.UMICH.CC.UB,1990s,1
Peter_Lofting at gnfido.gn.apc.org,1990s,1
Peter_Scharf at brown.edu,1990s,9
Petr Mares,1990s,78
Petra Kieffer-Pülz,2010s,4
Petra Kieffer-Pülz,2020s,3
Petra Lamberson,2020s,1
Petra Wehmeyer,1990s,5
Petri Pulliainen,1990s,1
Petteri Koskikallio,2000s,9
Petteri Koskikallio,2010s,2
Philip McEldowney,1990s,1
Philipp Maas,2000s,13
Philipp Maas,2010s,51
Philipp Maas,2020s,24
Philippe Bornet,2020s,2
Philippe LEPLEUX,1990s,1
Phillip Ernest,2000s,30
Pierre-Julien Harter,2020s,1
Pierre-Sylvain Filliozat,1990s,7
Pierre-Sylvain Filliozat,2000s,5
Pinco Pallino,1990s,1
Piotr Balcerowicz,2010s,23
Piotr Balcerowicz,2020s,29
Piotr Janiak,1990s,1
Plamen Gradinarov,2000s,43
Poopathi Manickam,1990s,3
Poopathi Manickam,2000s,2
Poopathi S. Manickam,2000s,4
Poopathi S.Manickam,2000s,1
Poornima,1990s,4
Poornima Kirloskar,1990s,2
Pragya Jain,2020s,1
"Prakash, Pranav",2020s,4
Pramit Bhasin,1990s,3
Pramod Ranjan,2020s,1
Pranav Prakash,2020s,17
Prasad Velusamy,1990s,10
Prasad Velusamy,2000s,33
Prasenjit Medhi,2000s,2
Prashanth Kumar A.K.,1990s,1
Pratap Kumar,1990s,12
Pravrajika Vrajaprana,2000s,4
Prem Pahlajrai,2000s,1
Premchand Gada,1990s,2
"Preston, Charles",2010s,3
Priya Nambrath,2020s,2
Prof G Samuel,1990s,2
Prof J Clayton,1990s,5
"Prof Laurie Patton, Ph.D.",2010s,9
Prof P Kumar,1990s,13
Prof. B. H. Shukla HOD,2000s,1
Prof. D N Jha,2000s,8
Prof. Dr. Eli Franco,2000s,1
Prof. Dr. Heike Oberlin,2010s,1
Prof. Dr. Robert J. Zydenbos,2000s,2
Prof. Dr. Robert J. Zydenbos,2010s,1
Prof. Dr. Robert Zydenbos,2000s,3
Prof. Dr. Robert Zydenbos,2010s,1
Prof. Dr. Robert Zydenbos,2020s,1
