normalized_author,author_id,message_count,thread_count,first_year,last_year,top_topic,top_list_function,resolved_replies_sent,resolved_replies_received,author_status
aklujkar,indology-author-5b9dbc0b19,3,2,1999,2000,General scholarly discussion,general discussion,2,0,needs_review
dwight at unixg.ubc.ca,indology-author-9f42c791f6,3,2,1993,1993,General scholarly discussion,general discussion,1,2,needs_review
fsmith at blue.weeg.uiowa.edu,indology-author-ee32f0be3b,3,2,1997,1997,General scholarly discussion,general discussion,3,0,needs_review
harzer at utexas.edu,indology-author-1974efd4e4,3,2,2016,2016,Bibliographic requests,bibliographic request,3,0,needs_review
lpp,indology-author-45518aff8f,3,2,2000,2000,General scholarly discussion,general discussion,3,1,needs_review
m m agrawal,indology-author-bb2828c273,3,2,1998,1998,General scholarly discussion,general discussion,3,0,confirmed
merry burlingham,indology-author-47a8dfa47e,3,2,1994,1994,General scholarly discussion,digital resource/tool,1,4,confirmed
mike dickman,indology-author-8ae4baf9fe,3,2,1997,1997,General scholarly discussion,general discussion,2,0,confirmed
Brendan,indology-author-d88b10c6bc,3,1,2018,2018,General scholarly discussion,general discussion,3,3,needs_review
Cicely A Bonnin,indology-author-501c60bdcc,3,1,2024,2024,Bibliographic requests,identification/help request,2,1,confirmed
Nadejda Moiseeva,indology-author-e751c9113e,3,1,1997,1997,General scholarly discussion,general discussion,2,3,confirmed
Nithin Reddy Mettu,indology-author-c7f27cdb21,3,1,1997,1997,Bibliographic requests,general discussion,3,0,confirmed
dominik at haas.asia,indology-author-5b3879c7b0,3,1,2025,2025,General scholarly discussion,general discussion,2,2,needs_review
224141 at swedenmail.com,indology-author-4c93b7104a,2,2,1999,1999,General scholarly discussion,debate/controversy,0,0,needs_review
?? ?,indology-author-e15e80b8a0,2,2,2001,2001,General scholarly discussion,general discussion,0,0,confirmed
A .Sugumaran,indology-author-2893ba454e,2,2,1999,1999,General scholarly discussion,debate/controversy,0,2,confirmed
A.M. Pinkney,indology-author-16d85b2c12,2,2,2008,2010,Announcements and events,announcement/event,0,0,confirmed
A.M.Cerulli,indology-author-c55e6b3a0e,2,2,2012,2012,Announcements and events,announcement/event,0,0,needs_review
A.Raman at massey.ac.nz,indology-author-b645977bb9,2,2,1994,1994,Grammar and linguistics,identification/help request,1,1,needs_review
"ANANDAKRISHNAN, MARTHA",indology-author-f59dbe5613,2,2,1993,1993,General scholarly discussion,general discussion,1,3,confirmed
ANSU ANNA JOHN,indology-author-6191381563,2,2,1994,1994,General scholarly discussion,general discussion,1,0,confirmed
ARUN.VOHRA at hq.doe.gov,indology-author-3c0f98421f,2,2,1995,1995,General scholarly discussion,general discussion,0,2,needs_review
ASHER at EDU.UMN.ACS.VX,indology-author-a88d1d32d6,2,2,1991,1991,General scholarly discussion,general discussion,0,0,needs_review
Adrian Buciuman,indology-author-742f9d2790,2,2,1999,1999,General scholarly discussion,general discussion,0,0,confirmed
Aleksandre Yellizariev,indology-author-e434765ecf,2,2,1997,1997,General scholarly discussion,general discussion,1,2,confirmed
Alessandra Petrocchi,indology-author-611a9f26ff,2,2,2019,2019,General scholarly discussion,general discussion,1,2,confirmed
Alexander v. Rospatt,indology-author-0aa26e54e4,2,2,2001,2003,General scholarly discussion,general discussion,1,2,confirmed
Alexandre Sotov,indology-author-7a79386df1,2,2,1998,1998,General scholarly discussion,general discussion,0,0,confirmed
"Andrea Farran, Prof",indology-author-6ea9db07dc,2,2,2025,2025,General scholarly discussion,general discussion,0,0,confirmed
Andrea Pinkney,indology-author-66cb0ff2f2,2,2,2012,2012,General scholarly discussion,general discussion,1,2,confirmed
Andy McCord,indology-author-ce75d394d5,2,2,1997,1997,General scholarly discussion,general discussion,1,2,confirmed
"Angermeier, Vitus",indology-author-2057e18f2f,2,2,2025,2026,General scholarly discussion,general discussion,2,0,confirmed
Angot Michel,indology-author-7cadc38abc,2,2,2008,2008,General scholarly discussion,general discussion,0,0,confirmed
Anil Mundra,indology-author-d7a20d6b6b,2,2,2017,2017,General scholarly discussion,general discussion,2,0,confirmed
Anjana Roy,indology-author-cb59e41768,2,2,1996,1996,General scholarly discussion,general discussion,2,0,confirmed
Anna Müller,indology-author-f91efb3092,2,2,1999,1999,General scholarly discussion,general discussion,0,1,confirmed
Anne MacDonald,indology-author-5e2759fea0,2,2,1998,2000,General scholarly discussion,general discussion,0,0,confirmed
Antonio Jardim,indology-author-cad30c969d,2,2,2005,2005,General scholarly discussion,general discussion,2,0,confirmed
Antreas P. Hatzipolakis,indology-author-ee21f79837,2,2,1998,1998,General scholarly discussion,general discussion,1,2,confirmed
Anubhav Jain,indology-author-73cf49714d,2,2,2024,2026,Digital resources and tools,digital resource/tool,2,0,confirmed
Anusha Sudindra Rao,indology-author-23877fb86c,2,2,2023,2024,General scholarly discussion,announcement/event,0,1,confirmed
Ashok Aklujkar (Interchange),indology-author-3c03fbd713,2,2,2007,2007,General scholarly discussion,general discussion,1,0,confirmed
Ashwini Sharad Deo,indology-author-2750cb1a16,2,2,2004,2006,General scholarly discussion,general discussion,0,2,confirmed
Astrid Zotter,indology-author-780c39cfad,2,2,2012,2018,General scholarly discussion,announcement/event,0,1,confirmed
Atimidus,indology-author-cf44178a88,2,2,2000,2000,General scholarly discussion,general discussion,0,0,needs_review
Ayelet Kotler,indology-author-920480da71,2,2,2019,2019,Announcements and events,announcement/event,0,0,confirmed
BP Jonsson,indology-author-4967b4db2f,2,2,2000,2000,General scholarly discussion,general discussion,1,3,confirmed
BROWNH at CCSUA.CTSTATEU.EDU,indology-author-74893fc56e,2,2,1993,1994,General scholarly discussion,general discussion,1,2,needs_review
Beatrice Reusch,indology-author-aacb00cdef,2,2,2003,2003,General scholarly discussion,general discussion,0,0,confirmed
Bertram Liyanage,indology-author-619a8dfe44,2,2,2023,2024,Digital resources and tools,digital resource/tool,1,2,confirmed
Birgit Kellner (univie),indology-author-884aaaa4d5,2,2,2006,2007,General scholarly discussion,general discussion,1,0,confirmed
Birgit Mayer <AG5 at EARN.DHDURZ1>,indology-author-d7f2b24808,2,2,1991,1992,General scholarly discussion,general discussion,1,0,confirmed
Bob Lazarowitz,indology-author-e9e65d9eb5,2,2,1999,2000,General scholarly discussion,general discussion,2,0,confirmed
Bradley A. Esparza,indology-author-5608a5eb3e,2,2,1998,1998,General scholarly discussion,general discussion,2,0,confirmed
"Brereton, Joel",indology-author-a41ed1eec3,2,2,2015,2015,General scholarly discussion,general discussion,1,1,confirmed
C John Powers,indology-author-da47682a5b,2,2,1994,1994,General scholarly discussion,general discussion,0,1,confirmed
C.S.Raghavendra,indology-author-3914e3b809,2,2,1997,1997,General scholarly discussion,general discussion,0,0,needs_review
CJPOWERS at DESIRE.WRIGHT.EDU,indology-author-fdfee14ebb,2,2,1995,1995,General scholarly discussion,general discussion,0,0,needs_review
CLARK Chris,indology-author-62ea16375f,2,2,2019,2019,Digital resources and tools,digital resource/tool,1,2,confirmed
Catalin BUIU,indology-author-51214f4388,2,2,1996,1997,General scholarly discussion,general discussion,0,1,confirmed
Chantal Lemay,indology-author-7bf418af61,2,2,1998,1998,General scholarly discussion,general discussion,0,0,confirmed
Christopher J. Fynn,indology-author-00a54ac020,2,2,2000,2000,General scholarly discussion,general discussion,1,0,confirmed
Clare Martin,indology-author-e7250c0ead,2,2,1997,1997,General scholarly discussion,general discussion,2,0,confirmed
DESIKACHARYK at wl.aecl.ca,indology-author-21fde6333f,2,2,1996,1996,General scholarly discussion,general discussion,0,0,needs_review
Danuta Stasik,indology-author-2b9053062d,2,2,1997,1997,Digital resources and tools,digital resource/tool,2,0,confirmed
David,indology-author-aa743a0aae,2,2,1997,2000,General scholarly discussion,general discussion,1,0,needs_review
David C. Swain,indology-author-d283ca9c8e,2,2,1995,1995,Announcements and events,announcement/event,1,0,confirmed
David Nelson,indology-author-15b7260973,2,2,1992,1993,General scholarly discussion,general discussion,0,8,confirmed
David Slakter,indology-author-6bee1fc3ff,2,2,2024,2025,General scholarly discussion,general discussion,0,0,confirmed
Dayan Deonarine,indology-author-5d780b1f51,2,2,1994,1994,General scholarly discussion,general discussion,0,0,confirmed
Denise Hanusek,indology-author-067be0e43d,2,2,1999,2000,General scholarly discussion,general discussion,1,2,confirmed
Devendra.Singh at si.sintef.no,indology-author-376a54303d,2,2,1993,1993,General scholarly discussion,general discussion,0,0,needs_review
Deviprasad Mishra,indology-author-d9b6cef7dc,2,2,2006,2007,General scholarly discussion,general discussion,2,0,confirmed
Dhammametto Bhikkhu,indology-author-ad09c1db7e,2,2,2000,2000,General scholarly discussion,general discussion,2,0,confirmed
Dietrich Christian Lammerts,indology-author-748d279062,2,2,2005,2006,General scholarly discussion,general discussion,2,0,confirmed
Dinesh Maheshwari/CAD,indology-author-2c965da802,2,2,2000,2000,Grammar and linguistics,list administration,0,4,confirmed
Divya Kumar-Dumas,indology-author-854ffc6d00,2,2,2025,2026,History and culture,general discussion,2,2,confirmed
Dmitriy,indology-author-0638f5af93,2,2,2013,2014,General scholarly discussion,general discussion,2,0,needs_review
Dr Aloka Parasher-Sen,indology-author-56afe704f6,2,2,1997,1997,General scholarly discussion,general discussion,1,1,confirmed
Dr. Julia Leslie,indology-author-06a86cfe50,2,2,1995,1995,General scholarly discussion,general discussion,0,0,confirmed
Duane Wenzel,indology-author-4f9844f63f,2,2,1995,1997,General scholarly discussion,general discussion,1,0,confirmed
Durga,indology-author-45eb879a9c,2,2,1997,1997,General scholarly discussion,general discussion,1,0,needs_review
Edward Beach,indology-author-e3e8e07403,2,2,1995,1995,Teaching and pedagogy,general discussion,0,8,confirmed
Elisabeth Shyjka,indology-author-45851403c7,2,2,1997,1997,General scholarly discussion,general discussion,0,1,confirmed
Elise Coquereau-Saouma,indology-author-d28795ded9,2,2,2022,2022,Announcements and events,announcement/event,0,0,confirmed
Emil HERŠAK,indology-author-dee3e5f56f,2,2,1997,1997,Digital resources and tools,digital resource/tool,1,0,confirmed
Emiliano Bianchi,indology-author-01996a4400,2,2,1999,2000,General scholarly discussion,general discussion,0,0,confirmed
Eric Geer,indology-author-c8b9d2f86d,2,2,1996,1996,Digital resources and tools,digital resource/tool,2,0,confirmed
Fernando,indology-author-ec3e661d7b,2,2,1997,1998,General scholarly discussion,general discussion,1,0,needs_review
Francisco Javier Martinez Garcia,indology-author-2116651ba7,2,2,1995,1995,General scholarly discussion,general discussion,1,1,confirmed
Frank F. Conlon,indology-author-c218848238,2,2,2022,2022,Announcements and events,announcement/event,0,0,confirmed
Frank J. Korom,indology-author-402bb23735,2,2,1998,1998,General scholarly discussion,debate/controversy,2,0,confirmed
Frederick M Asher-1,indology-author-1fa46f182a,2,2,1993,1994,General scholarly discussion,general discussion,1,0,confirmed
Fumi Yao,indology-author-b623904d66,2,2,2014,2017,General scholarly discussion,general discussion,2,2,confirmed
GAIL at utxvms.cc.utexas.edu,indology-author-ace418821f,2,2,1996,1996,General scholarly discussion,general discussion,2,0,needs_review
GOPAL IYER,indology-author-47c6edcdb6,2,2,1995,1995,General scholarly discussion,general discussion,0,2,confirmed
Gary Alan Tubb,indology-author-4b2a4f07d4,2,2,1996,1996,General scholarly discussion,general discussion,1,0,confirmed
Gerhard Ehlers,indology-author-7f73651dd6,2,2,1999,2000,Buddhism and Jainism,digital resource/tool,2,0,confirmed
Gustaaf Houtman,indology-author-d6833704b8,2,2,1999,1999,General scholarly discussion,general discussion,0,1,confirmed
H.T. Bakker,indology-author-a121742488,2,2,2005,2005,General scholarly discussion,general discussion,0,0,confirmed
Harihar Bhattarai,indology-author-ba5fd9d368,2,2,1994,1995,General scholarly discussion,general discussion,1,2,confirmed
"Harper, Katherine",indology-author-f32870ec59,2,2,1995,1995,Digital resources and tools,digital resource/tool,0,0,confirmed
"HarzerClear, Edeltraud",indology-author-a4c47b3d3c,2,2,2012,2013,General scholarly discussion,general discussion,2,4,confirmed
Hershini Soneji,indology-author-318e647c86,2,2,2023,2023,Announcements and events,announcement/event,0,0,confirmed
"Hueckstedt, Robert A. (rah2k)",indology-author-992f141e1d,2,2,2018,2018,General scholarly discussion,general discussion,2,1,confirmed
Hélène de Brux,indology-author-ab2a23399f,2,2,2020,2021,Announcements and events,announcement/event,1,0,confirmed
IAOmar,indology-author-679e467ade,2,2,1998,1998,History and culture,general discussion,0,7,needs_review
INDINST at UK.AC.OXFORD.VAX,indology-author-cb70b1dca3,2,2,1992,1992,General scholarly discussion,general discussion,0,2,needs_review
Institute of Social and Cultural Anthropology,indology-author-94d86b8f5b,2,2,1991,1992,General scholarly discussion,general discussion,1,0,confirmed
Ivan Andrijanic,indology-author-ae77d54ad9,2,2,2022,2023,Announcements and events,announcement/event,0,0,confirmed
Ivan Andrijanić,indology-author-5b08402ad1,2,2,2019,2022,Announcements and events,announcement/event,0,0,confirmed
J Ganeri,indology-author-1fe74a8ba0,2,2,1996,1997,Bibliographic requests,general discussion,0,0,confirmed
JM,indology-author-112f489f6b,2,2,1998,1999,General scholarly discussion,general discussion,1,0,needs_review
Jacqueline Suthren Hirst,indology-author-d92e61d0cc,2,2,1997,1998,General scholarly discussion,general discussion,1,0,confirmed
Jahnabi,indology-author-48e408e515,2,2,2018,2019,General scholarly discussion,general discussion,0,1,needs_review
Jai Simman s/o R. Rangasamy,indology-author-79eb7f6d38,2,2,2000,2000,General scholarly discussion,general discussion,0,0,confirmed
James Egge,indology-author-4b20522d81,2,2,1997,1997,General scholarly discussion,general discussion,0,2,confirmed
Jan Dvorak,indology-author-80051e2c63,2,2,1998,2000,General scholarly discussion,general discussion,0,0,confirmed
Jan Seifert,indology-author-b58d96409c,2,2,1998,1998,General scholarly discussion,general discussion,1,6,confirmed
Jean Nielson,indology-author-9f53eb535e,2,2,2000,2000,History and culture,general discussion,1,4,confirmed
Jean-Claude Svadchii,indology-author-3eca6edbef,2,2,1996,1996,Announcements and events,announcement/event,1,1,confirmed
Jerry.Losty at mail.bl.uk,indology-author-7d1139bd3e,2,2,1996,1996,General scholarly discussion,general discussion,1,1,needs_review
Joanna Kirkpatrick,indology-author-22a07719b0,2,2,2004,2004,Announcements and events,announcement/event,2,0,confirmed
Joel Eugene Bordeaux,indology-author-b3303a55fd,2,2,2017,2018,General scholarly discussion,general discussion,2,0,confirmed
Joel Ðietz,indology-author-3f84275db3,2,2,2023,2025,General scholarly discussion,general discussion,2,0,confirmed
Johannes B. Tümmers MA,indology-author-f471454b30,2,2,1996,1997,General scholarly discussion,general discussion,0,1,confirmed
John D. Dunne,indology-author-caa904965f,2,2,2000,2001,General scholarly discussion,general discussion,0,3,confirmed
John D. Smith,indology-author-da50c9ac16,2,2,1995,1995,General scholarly discussion,general discussion,0,0,confirmed
John Newman,indology-author-562428c2f2,2,2,2006,2006,General scholarly discussion,general discussion,1,2,confirmed
John Newman (NC),indology-author-59beab3ec3,2,2,1997,1997,General scholarly discussion,general discussion,0,0,confirmed
John Powers,indology-author-ed089ed4e8,2,2,1998,1998,General scholarly discussion,general discussion,2,0,confirmed
Jonardon Ganeri,indology-author-e4a7979723,2,2,2006,2007,General scholarly discussion,general discussion,1,0,confirmed
Joseph Carson,indology-author-d4de189a96,2,2,2000,2000,General scholarly discussion,general discussion,1,0,confirmed
Jowita Kramer,indology-author-7f2488c4ad,2,2,2018,2022,Announcements and events,announcement/event,0,0,confirmed
K N Neelakantan,indology-author-c650586247,2,2,2001,2006,General scholarly discussion,general discussion,2,0,confirmed
K.M.R. Pfaehler,indology-author-c926ef25e6,2,2,1994,1994,General scholarly discussion,general discussion,0,1,confirmed
KERNLIB at rullet.LeidenUniv.nl,indology-author-9942911a4c,2,2,1994,1996,General scholarly discussion,general discussion,1,0,needs_review
KHarper at lmumail.lmu.edu,indology-author-40b8374742,2,2,1995,1995,General scholarly discussion,general discussion,1,1,needs_review
KWEGMAN at vax1.miu.edu,indology-author-b2761250b1,2,2,1995,1995,General scholarly discussion,general discussion,0,3,needs_review
Kakmuk,indology-author-7db9f11101,2,2,1998,1998,General scholarly discussion,general discussion,1,0,needs_review
"Kambhampaty, Krishna",indology-author-b736d55488,2,2,1999,1999,General scholarly discussion,general discussion,1,4,confirmed
Katherine Harper,indology-author-6331214b09,2,2,2000,2001,General scholarly discussion,general discussion,0,3,confirmed
Kathleen Longwaters,indology-author-d89c98fd63,2,2,2016,2016,Bibliographic requests,bibliographic request,2,1,confirmed
Kathrin Holz,indology-author-4000ae654b,2,2,2022,2023,Announcements and events,digital resource/tool,0,1,confirmed
Katrin Binder,indology-author-062b14684f,2,2,2013,2013,Announcements and events,announcement/event,0,0,confirmed
Ken Robbins,indology-author-a2d05b2faa,2,2,2013,2013,History and culture,general discussion,0,1,confirmed
Kenji Takahashi,indology-author-3c8583aa2f,2,2,2024,2024,Announcements and events,announcement/event,0,0,confirmed
Kerry M. Skora,indology-author-7b0a95f90f,2,2,1998,1998,General scholarly discussion,general discussion,0,0,confirmed
Krishna R,indology-author-6bdb84d908,2,2,2000,2000,General scholarly discussion,general discussion,1,1,confirmed
Kumar Kumarappan,indology-author-5940ba6605,2,2,2000,2000,Announcements and events,general discussion,1,12,confirmed
Kusuma Cunningham,indology-author-4519df2bf5,2,2,1998,2000,General scholarly discussion,general discussion,1,1,confirmed
L S Cousins,indology-author-d3026fbb36,2,2,1994,1994,General scholarly discussion,general discussion,2,0,confirmed
L. A. Nadybal,indology-author-413748d3a1,2,2,2001,2001,General scholarly discussion,general discussion,2,0,confirmed
LESTER ROBERT C,indology-author-532f123d8f,2,2,1995,1995,General scholarly discussion,general discussion,2,0,confirmed
Lalita du Perron,indology-author-c7a5f6e0c3,2,2,1998,1999,General scholarly discussion,general discussion,2,0,confirmed
Lea Stiller,indology-author-124dcc9816,2,2,2026,2026,Announcements and events,announcement/event,0,1,confirmed
Lee Schlesinger,indology-author-2d82e7dadc,2,2,1995,1995,Announcements and events,announcement/event,0,0,confirmed
Louis Fenech,indology-author-17ca4d7428,2,2,1994,1994,General scholarly discussion,general discussion,0,1,confirmed
Luca Piscopo,indology-author-4a51a6686f,2,2,2026,2026,Announcements and events,announcement/event,0,0,confirmed
Ludovico Magnocavallo,indology-author-12d3125594,2,2,1996,1996,General scholarly discussion,general discussion,0,1,confirmed
Maarten Bode,indology-author-f31a6eaba6,2,2,2022,2026,Announcements and events,announcement/event,1,2,confirmed
MacMagic at aol.com,indology-author-3104e98dd1,2,2,1994,1995,General scholarly discussion,general discussion,1,0,needs_review
Maddalena Italia,indology-author-110e92e196,2,2,2023,2024,Announcements and events,announcement/event,0,0,confirmed
Mahendra Jain,indology-author-e2dea4a549,2,2,2000,2000,General scholarly discussion,general discussion,1,0,confirmed
MailmanLists Support,indology-author-8223e42321,2,2,2021,2021,General scholarly discussion,general discussion,0,0,confirmed
Malay K. Bagchi,indology-author-60cd65f88f,2,2,1998,1998,Digital resources and tools,digital resource/tool,1,0,confirmed
Markus Viehbeck,indology-author-b691237156,2,2,2019,2025,Digital resources and tools,digital resource/tool,0,3,confirmed
Matthew D. Milligan,indology-author-28c77ed01e,2,2,2023,2025,General scholarly discussion,general discussion,2,0,confirmed
"McClintock, Sara L",indology-author-d6b17df1c2,2,2,2021,2021,Announcements and events,announcement/event,0,0,confirmed
McComas.Taylor at ANU.EDU.AU,indology-author-edca78a9e8,2,2,2007,2008,Announcements and events,announcement/event,2,0,needs_review
Meenakshi Bauri,indology-author-94c4d81617,2,2,2000,2001,General scholarly discussion,general discussion,1,0,confirmed
Melinda Fodor,indology-author-050b2d98d4,2,2,2022,2022,Buddhism and Jainism,general discussion,1,1,confirmed
Menon,indology-author-7bea7e9f7e,2,2,2000,2000,General scholarly discussion,general discussion,2,0,needs_review
Michael Radich,indology-author-b48a92514f,2,2,2011,2014,General scholarly discussion,general discussion,2,1,confirmed
Michaels Axel,indology-author-cdcc0217f5,2,2,1994,1994,General scholarly discussion,general discussion,1,0,confirmed
Michel Angot,indology-author-6a4dabef01,2,2,2015,2015,General scholarly discussion,general discussion,0,1,confirmed
Mitra Ara,indology-author-5ae132a48a,2,2,2003,2003,General scholarly discussion,general discussion,2,0,confirmed
Motilal Banarsidass Publishers,indology-author-9213fb1d28,2,2,1999,2000,General scholarly discussion,general discussion,1,0,confirmed
Mr. M.M. AGRAWAL,indology-author-9c21af4f07,2,2,2000,2000,General scholarly discussion,general discussion,0,2,confirmed
Muhammed Suleiman,indology-author-05f58ad76c,2,2,1997,1997,General scholarly discussion,general discussion,0,2,confirmed
Mustafah Dhada,indology-author-f16839d8f8,2,2,1998,1998,General scholarly discussion,general discussion,0,0,confirmed
Myanghee Cha,indology-author-9ede824fe1,2,2,1997,1997,General scholarly discussion,general discussion,1,0,confirmed
NKP verra,indology-author-f744275a9b,2,2,2002,2002,General scholarly discussion,general discussion,1,1,confirmed
Nalini Balbir,indology-author-b666ccb6a1,2,2,2026,2026,General scholarly discussion,general discussion,0,0,confirmed
Navjyoti Singh,indology-author-b1e33dc824,2,2,2000,2000,General scholarly discussion,general discussion,1,0,confirmed
Nenninger.Wilden at t-online.de,indology-author-3aa0a12b0f,2,2,1997,1997,General scholarly discussion,general discussion,0,0,needs_review
"Newman, John",indology-author-f6627708b8,2,2,2004,2006,General scholarly discussion,general discussion,0,2,confirmed
Ngilcach at aol.com,indology-author-26de46db6c,2,2,1997,1997,Digital resources and tools,digital resource/tool,0,1,needs_review
Nicholas Sterling,indology-author-18bd2e70c8,2,2,1995,1995,General scholarly discussion,general discussion,0,7,confirmed
Nick Allen,indology-author-7bc7b29028,2,2,2016,2017,General scholarly discussion,identification/help request,1,1,confirmed
Noel Evans,indology-author-f460c1eeb1,2,2,1997,1998,General scholarly discussion,general discussion,1,2,confirmed
Oguibenine,indology-author-187afa1cc4,2,2,1999,1999,General scholarly discussion,general discussion,1,2,needs_review
"Olivelle, Joseph P",indology-author-79e595ff25,2,2,2022,2022,General scholarly discussion,general discussion,1,1,confirmed
Ołena Łucyszyna,indology-author-a2682af67b,2,2,2024,2024,General scholarly discussion,general discussion,2,2,confirmed
PHIL013 at csc.canterbury.ac.nz,indology-author-c79436269e,2,2,1994,1995,General scholarly discussion,general discussion,1,0,needs_review
PWilliams at UH.EDU,indology-author-51cac59935,2,2,1994,1994,General scholarly discussion,general discussion,0,2,needs_review
Patricia Greer,indology-author-04c0f3adf5,2,2,2003,2009,General scholarly discussion,general discussion,1,2,confirmed
Patrick Lanaghan,indology-author-bc59bb9190,2,2,1995,1995,General scholarly discussion,general discussion,0,2,confirmed
Patrick Zeitlhuber,indology-author-3c9cbba2e6,2,2,2025,2026,Announcements and events,announcement/event,0,0,confirmed
Patrik Nyman,indology-author-c6c059dbbd,2,2,1999,1999,General scholarly discussion,general discussion,1,0,confirmed
Pavel Hons,indology-author-2ce3f06e1c,2,2,2022,2024,Announcements and events,job/position,0,0,confirmed
Penny Edwards,indology-author-a4145616ab,2,2,2011,2011,General scholarly discussion,general discussion,0,0,confirmed
Peter,indology-author-4b8373d016,2,2,2006,2007,Announcements and events,announcement/event,0,0,needs_review
Prasenjit Medhi,indology-author-1cad6698b7,2,2,2000,2000,General scholarly discussion,general discussion,1,0,confirmed
Premchand Gada,indology-author-6000ab69a8,2,2,1998,1998,General scholarly discussion,general discussion,0,2,confirmed
Prof G Samuel,indology-author-249e872e40,2,2,1995,1995,General scholarly discussion,general discussion,2,0,confirmed
"Prof. Pankaj Jain पंकज जैन, Ph.D.",indology-author-72983a6e8e,2,2,2021,2021,Announcements and events,announcement/event,0,1,confirmed
Purusottama Bilimoria,indology-author-234f88b6fb,2,2,1991,1992,General scholarly discussion,general discussion,0,2,confirmed
Puthusseri Ramachandran,indology-author-4ed168ba3d,2,2,2001,2001,General scholarly discussion,general discussion,1,0,confirmed
QUESSEL.BURKHARD,indology-author-c6abeaebd3,2,2,1994,1996,Bibliographic requests,general discussion,2,0,needs_review
R P Jain,indology-author-78b36ae037,2,2,2016,2016,Announcements and events,general discussion,1,0,confirmed
R. P. Hayes,indology-author-a9cea11959,2,2,1994,1994,General scholarly discussion,general discussion,0,0,confirmed
RCJ at automation.university-library.cambridge.ac.uk,indology-author-9f82ef59d8,2,2,1993,1993,Buddhism and Jainism,general discussion,0,0,needs_review
REIN ENDE,indology-author-2f6048b40f,2,2,2017,2022,General scholarly discussion,general discussion,2,3,confirmed
RHKoch,indology-author-c56e42a1f3,2,2,2015,2015,General scholarly discussion,general discussion,2,0,needs_review
RIBERAIGUA Caroline,indology-author-90c9c8db22,2,2,2021,2024,General scholarly discussion,general discussion,2,1,confirmed
RICK ASHER,indology-author-b554195cee,2,2,1991,1993,General scholarly discussion,general discussion,0,0,confirmed
RSharma144,indology-author-dca95a808e,2,2,1998,1998,General scholarly discussion,general discussion,1,1,needs_review
Rachel McDermott,indology-author-6351396628,2,2,2000,2001,General scholarly discussion,general discussion,1,0,confirmed
Raghavendra C.S,indology-author-71919cd27b,2,2,1996,1997,General scholarly discussion,general discussion,1,0,confirmed
Raja Rosenhagen,indology-author-9ccfaa2bed,2,2,2019,2022,Buddhism and Jainism,general discussion,0,5,confirmed
Rajesh Jayaraman,indology-author-f30d40b6b1,2,2,2000,2000,General scholarly discussion,general discussion,0,3,confirmed
Ramani T. kandiah,indology-author-7ebef226af,2,2,1999,2000,History and culture,general discussion,0,0,confirmed
Ramkrishna Bhattacharya,indology-author-7ad7d75ae1,2,2,2019,2019,General scholarly discussion,general discussion,0,0,confirmed
Rao Veluri,indology-author-e05488e8f1,2,2,1997,1997,General scholarly discussion,general discussion,1,0,confirmed
Ravindiran Vaitheespara,indology-author-e850526215,2,2,1999,1999,General scholarly discussion,general discussion,2,0,confirmed
Raymond Crawford,indology-author-ce9835aabf,2,2,1995,1996,History and culture,general discussion,2,0,confirmed
Richard B. Mahoney,indology-author-9d7569ed76,2,2,2000,2000,General scholarly discussion,general discussion,0,2,confirmed
Richard Marsden,indology-author-caede5ad80,2,2,1992,1992,General scholarly discussion,general discussion,0,0,confirmed
Richard Quick,indology-author-60fbf3d5b3,2,2,1999,1999,General scholarly discussion,general discussion,2,0,confirmed
Rinaldo RASA,indology-author-8955f49fba,2,2,1997,1997,General scholarly discussion,general discussion,1,0,confirmed
Robert M. Gimello,indology-author-8eb0537365,2,2,2004,2006,General scholarly discussion,general discussion,1,0,confirmed
Rocco Cestola,indology-author-e5fe395183,2,2,2018,2019,Bibliographic requests,general discussion,0,0,confirmed
Roesler Ulrike,indology-author-1b07efde5e,2,2,1996,1996,Digital resources and tools,digital resource/tool,1,0,confirmed
Romer Cornejo,indology-author-a554d1ad7f,2,2,1996,1996,General scholarly discussion,general discussion,0,0,confirmed
Ronald E.Emmerick,indology-author-0ccbf5cfde,2,2,2000,2000,General scholarly discussion,general discussion,1,0,confirmed
S. Deshpande,indology-author-60ec43def4,2,2,2000,2001,General scholarly discussion,general discussion,1,0,confirmed
S. Dubin,indology-author-be71883876,2,2,1993,1993,General scholarly discussion,general discussion,0,3,confirmed
S.Johar at library.usyd.edu.au,indology-author-5669623ca2,2,2,1995,1995,General scholarly discussion,general discussion,2,0,needs_review
SHARMA,indology-author-c8bd4463de,2,2,1994,1994,General scholarly discussion,general discussion,0,3,needs_review
SRINIVASAKRISHNAN L,indology-author-7b096e74b4,2,2,1998,1998,General scholarly discussion,general discussion,1,2,confirmed
STANLEY INSLER,indology-author-478f8a0751,2,2,1993,1993,General scholarly discussion,general discussion,1,0,confirmed
Sagar Journal,indology-author-54d67449a4,2,2,2013,2014,Announcements and events,announcement/event,0,0,confirmed
Sagar S. Asia Graduate Journal,indology-author-a318aefbbf,2,2,1995,1995,General scholarly discussion,general discussion,0,1,confirmed
Sam Grimes,indology-author-5ae64e0423,2,2,2015,2015,Announcements and events,job/position,0,1,confirmed
Samyak Modi,indology-author-1c73ddef22,2,2,2024,2025,Buddhism and Jainism,general discussion,0,1,confirmed
