keyword,label,status,reason,presentations,zograf,roerich,examples
индия,индия,hidden,слишком общий региональный маркер,181,130,51,Индийское паломничество в сравнительном аспекте | По следам Петербуржца в Индии: путешествие князя Салтыкова | Заметки о роли индийской диаспоры в пропаганде языка и литературы хинди | Сон Урмилы в современной индийской прозе
отечественный,отечественный,public,предметный термин,2,1,1,Миниатюры рагамала в отечественных собраниях | Ю.М. Парфионович: штрихи жизненного пути. Парфионович – продолжатель исследований Ю.Н. Рериха в области тибетологии. Совместная деятельность Ю.М. Парфионовича и В. С. Дылыковой по изучению и переводу «Калачакра-тантры». И.В. Григорьев. Ю.М. Парфионович и будущее отечественной буддологии
павел,павел,public,предметный термин,2,1,1,"Востоковед Павел Яковлевич Петров (1814–1875), его библиотека и архив | Памятные даты – стимул к новым поискам: 150 лет со дня рождения Павла Риттера и 120 лет со дня рождения Юрия Рериха. (доклад онлайн)"
падмават,падмават,public,предметный термин,2,2,0,Загадки поэмы Джаяси «Падмават» | Терминология суфийской проповеди в «Падмават» Малика Мухаммада Джаяси
палица,палица,public,предметный термин,2,2,0,"Сюжет о побоище палицами в «Маусалапарве» и в «Джатаке о Гхата-пандите» | Книга о побоище палицами (Махабхарата, XVI)"
паломнический,паломнический,public,предметный термин,2,1,1,"Чайтья в трех версиях «Лалитавистары»: взаимодействие текста и паломнической традиции | Волосы Будды: паломнический и житийный нарратив, изобразительная традиция"
паломничество,паломничество,public,предметный термин,2,2,0,Индийское паломничество в сравнительном аспекте | Паломничество в Калика-пуране
память,память,public,предметный термин,2,2,0,"Огонь, вода и память: погребальные практики сикхов в мультикультурной среде | ""Махабхарата"" как текст культурной памяти"
паннир,паннир,public,предметный термин,2,0,2,Чидамбарам и его дикшитары в зеркале «Панниру тирумурей» | Место и роль Сундарара в структуре шиваитского канона «Панниру Тирумурей»
панчатантра,панчатантра,public,предметный термин,2,1,1,Чему и как учит Панчатантра | Панчатантра как шастра и как тантра
парань,парань,public,предметный термин,2,1,1,Смысл и понимание войны в средневековой Южной Индии (поэма Джаянкондара «Парани о войне в Калинге») | Литературный канон и инновации в поэме Джаянкондара «Парани о войне в Калинге»
парк,парк,public,предметный термин,2,0,2,Старый парк Пушпакарандаки (одна из загадок «Глиняной повозки») | Дворцовый парк в индийской литературе V – VI вв
парья,парья,public,предметный термин,2,2,0,Пещера дивов в сказке на языке парья | О не-волшебной помощнице в сказках парья: вариант фольклорного мотива
патанджали,патанджали,public,предметный термин,2,2,0,Проблемы реконструкции системы йоги Патанджали на основе переводов «корневого» текста «Йога-сутр» и толкования Бходжи («Rājamārtaṇḍa») | «Йога-сутры» Патанджали в арабском переводе ал-Бируни
пекин,пекин,public,предметный термин,2,1,1,"О сборнике садхан, переведенном Б. И. Панкратовым в 1930-е гг. в Пекине | Рерихи в Пекине в 1934—1935 гг"
первобытный,первобытный,public,предметный термин,2,2,0,От демонической к человеческой сексуальности? Индо-иранский миф о первобытном инцесте Ями и Ямы и его индоевропейские корни | «Век Кроноса» и «Сатья-юга»: два вида «первобытного коммунизма» и античных теорий социогенеза
переводческий,переводческий,public,предметный термин,2,1,1,Текущие переводческие проекты Фонда «Сохраним Тибет!» и изд-ва «Нартанг» | Опыт передачи эпической шлоки в русской переводческой традиции
переводчик,переводчик,public,предметный термин,2,1,1,Микушевич как переводчик санскритской поэзии | Трудности в изучении философского наследия Дигнаги: опыт переводчика и историка философии
переписка,переписка,public,предметный термин,2,1,1,Переписка О.Н. Бетлингка по поводу Петербургских словарей и судьба лексикографа | Священные зороастрийские тексты и переписка парсийских жрецов с зороастрийскими жрецами Ирана
персоязычный,персоязычный,public,предметный термин,2,1,1,Роль персоязычных версий индийских текстов в формировании средневековой тюркоязычной литературы Южного Кавказа (на примере памятника «Калила и Димна») | Эволюция жанра шахрашуб в контексте взаимодействия персоязычной литературы и литературы урду
перформанс,перформанс,public,предметный термин,2,1,1,Тело агхори как «живой текст»: визуальность и перформанс в производстве религиозного авторитета | Санскритизация перформанса: преобразования традиций Bhūta-kolam (Тулунаду) и Chhau (Орисса)
петербург,петербург,hidden,географический маркер уже вынесен в отдельную фасетку,2,1,1,Юрий Рерих и буддийский храм в Санкт- Петербурге | Саттрия: рождение нового индийского классического танца в Ассаме Лаборатория «Театрика» (Москва – С.-Петербург). Видеоматериал по традиции чхоу
пещера,пещера,public,предметный термин,2,2,0,Пещера дивов в сказке на языке парья | «Махабхарата» и мотив «заточенных в пещере»
плач,плач,public,предметный термин,2,2,0,Плач матери Будды по мертвому сыну: об одном эпизоде из легенды о просветлении | Плач в составе древней махакавьи
племенной,племенной,public,предметный термин,2,1,1,Скрытое / явное: представления о знании у племенных народов Южной Карнатаки | «Торговцы» или «богачи»? К истории племенного подразделения байат
побоище,побоище,public,предметный термин,2,2,0,"Сюжет о побоище палицами в «Маусалапарве» и в «Джатаке о Гхата-пандите» | Книга о побоище палицами (Махабхарата, XVI)"
поговорка,поговорка,public,предметный термин,2,2,0,Пословицы и поговорки Индии и России как аспект межкультурной коммуникации (проектная деятельность на уроках языка хинди) | Животный мир пословиц и поговорок хинди
подношение,подношение,public,предметный термин,2,1,1,Кангдзей: «Подношения гневным божеcтвам» | Ранние китайские версии биографии Будды: сюжет подношения рисовой каши
позиция,позиция,public,предметный термин,2,2,0,Опровержение позиции вайшешики Дигнагой | Что мы пьём? (анализ питья с позиций тибетской мадхьямаки и «многомировой» концепции Эверетта-Менского)
поиск,поиск,public,предметный термин,2,1,1,"В поисках современного подхода к прозе Премчанда.Коровина Евгения Владимировна, Ренковская Евгения Алексеевна (Москва). Экспедиция к памятникам протоиндийской цивилизации на территории Индии | Памятные даты – стимул к новым поискам: 150 лет со дня рождения Павла Риттера и 120 лет со дня рождения Юрия Рериха. (доклад онлайн)"
полемический,полемический,public,предметный термин,2,1,1,Ведантийско-буддийский полемический диалог в «Брахмасутрабхашье» | Некоторые аспекты полемического дискурса в индийских религиозно-философских традициях
полисемия,полисемия,public,предметный термин,2,1,1,Полисемия в области терминологии родства – дравидийские и индоарийские языки | Метафора и полисемия в интерпретации буддийских тантр
политический,политический,public,предметный термин,2,2,0,"Искусство протеста. Политический театр в Индии: истоки и развитие | «Бенгальский стиль» в индийском танце: традиционное, креативное, политическое измерения В программе возможны изменения и дополнения Приглашаются все желающие"
половина,половина,public,предметный термин,2,1,1,«Они из секты Пифагора»: представления об индуизме трех итальянских купцов второй половины XVI в. | Имперская идея или этнический стереотип? Концепт «монгол» в первой половине XIII в
популярный,популярный,public,предметный термин,2,2,0,Репрезентация образа адиваси в популярном индийском кинематографе | О стереотипизации адиваси в популярной культуре Индии
портрет,портрет,public,предметный термин,2,0,2,Вербальный панегирик индийского монаршего портрета эпохи Моголов | Мотив dad-u dām в могольском монаршем портрете: к вопросу о генезисе и семантике
после,после,public,предметный термин,2,2,0,В деревне Ампития (Шри Ланка) через 100 лет после Людмилы Мерварт | Айодхья через 20 лет после конфликта: о современных проявлениях индуистского фундаментализма (наблюдения и немного размышлений)
постановка,постановка,public,предметный термин,2,2,0,Буддизм пудгалавады: к постановке вопроса о субъекте-пудгале | Механизмы передачи сакрального текста в школах раннего буддизма (К постановке проблемы)
поэт,поэт,public,предметный термин,2,0,2,Восхваление табака в поэме «Пухейилей видутуду» тамильского поэта Сини Саккарей Пулавара | Язык жреца – язык поэта. О сакральности речи в древнейших формах санскритской драмы
появление,появление,public,предметный термин,2,0,2,Интерпретация датировки появления буддизма в Японии в традиционных источниках и храмовых хрониках энги | Некоторые типичные моменты появления сонма божеств в Непале
правило,правило,public,предметный термин,2,2,0,Правило lopa в грамматике Панини | Парибхаша — интерпретационные правила грамматики Панини
пракритский,пракритский,public,предметный термин,2,2,0,Образ «распутницы» в пракритской лирике | Философ Нагарджуна – персонаж пракритского романа «Лилаваи»
пратьябхиджний,пратьябхиджний,public,предметный термин,2,0,2,О некоторых основных понятиях пратьябхиджни | Европейская феноменология и буддизм в свете спора представителей кашмирской школы Пратьябхиджня с буддистами
предельный,предельный,public,предметный термин,2,0,2,О предельном предмете в «Парамартхасаре» Абхинавагупты | Несколько слов о «я» и Адвайте в свете узнавания себя как предельного обладающего в толкованиях Абхинавагупты на «Ишварапратьябхиджня-карике» Утпаладевы
предсказание,предсказание,public,предметный термин,2,2,0,Предсказания об исчезновении Дхармы как фактор зарождения традиционной историографии буддизма | Следуя воле звезд: Индийская астрология и практика предсказаний стихийных бедствий
преемственность,преемственность,public,предметный термин,2,1,1,Вивекананда и его учителя: преемственность религиозно-философских взглядов | Теория преемственности Дхармы в доктрине «сангоку маппо» в японском буддизме
преобразование,преобразование,public,предметный термин,2,1,1,Sattriya Ассама: о преобразовании ритуального представления бхакатов в еще один «классический танцевальный стиль» Индии | Санскритизация перформанса: преобразования традиций Bhūta-kolam (Тулунаду) и Chhau (Орисса)
приложение,приложение,public,предметный термин,2,1,1,Индийская схема рациональности и некоторые ее приложения к индийской философии | Философское приложение шикши в кашмирском шиваизме
приписывать,приписывать,public,предметный термин,2,1,1,"О стихах, приписываемых Бхартрихари | О гимне Авалокитешваре, приписываемом тибетскому царю Сонгцэн-гампо"
проведение,проведение,public,предметный термин,2,1,1,Златоликие образы Дипанкары Будды и традиция проведения фестиваля Самьяк маха дана в Патане. Шишова-Маретина Ксения Александровна (Санкт-Петербург). Архетип опасной женственности в индуизме | К вопросу о замещениях (pratinidhi) при проведении шраута-ритуалов
пропаганда,пропаганда,public,предметный термин,2,2,0,Заметки о роли индийской диаспоры в пропаганде языка и литературы хинди | Индийский мифологический сериал как средство идеологической пропаганды
прошлый,прошлый,public,предметный термин,2,2,0,Функции вождя в традиционном обществе веддов в прошлом и настоящем | Ведды глазами сингалов: в прошлом и настоящем
проявление,проявление,public,предметный термин,2,1,1,Проявление чувств в лирике кришнаитского бхакти XVI в | Айодхья через 20 лет после конфликта: о современных проявлениях индуистского фундаментализма (наблюдения и немного размышлений)
психология,психология,public,предметный термин,2,2,0,Психология Бога в кашмирском шиваизме и у Якоба Беме | Психология акта самопожертвования в изображении драматургов 7-го века
пудгала,пудгала,public,предметный термин,2,1,1,Использование вторичного текста (цитирование) как средство ведения дискуссии в «Вопросе о субъекте (пудгале)» в «Катхаваттху 1.1» | Фрагмент дискуссии о пудгале в «Катхаваттху» I.1: пудгала и скандхи
пурва-миманс,пурва-миманс,public,предметный термин,2,2,0,К вопросу об истинности в пурва-мимансе | К пониманию бхаваны в пурва-мимансе
пушкин,пушкин,public,предметный термин,2,1,1,Пушкин на языке непали | Индийский эпос «Дхола-Мару» и «Сказка о царе Салтане» А.С.Пушкина
пять,пять,public,предметный термин,2,0,2,Описание Центральной Азии в «Хождении в пять индийских царств» | Как уложить пять формул в одну строфу? «Архивирующие» возможности санскрита в математических сочинениях средневековой Индии
рагамаленький,рагамаленький,public,предметный термин,2,1,1,Миниатюры рагамала в отечественных собраниях | Начало гирлянды. Первые известные серии миниатюр рагамала
радж,радж,public,предметный термин,2,2,0,Раджа Рави Варма: художник и основатель «Рави Варма Пресс» | Описания военной техники в индийском сочинении XI века «Шри Калачакра тантра раджа»
раздел,раздел,public,предметный термин,2,1,1,Интерпретация кровавых событий раздела Индии и Пакистана в романе Кхушванта Сингха «Поезд в Пакистан» | Дискуссия между буддистами и санкхьяиками о существовании и природе атмана в разделе «Атмапарикша» «Таттвасанграхи» Шанатаракшиты
разлука,разлука,public,предметный термин,2,1,1,Две поэмы на тему разлуки из тамильского сборника Паттуппатту: Муллейппатту и Недунальвадей. Опыт сравнения | Еще раз о теме разлуки в тамильской поэзии
разновидность,разновидность,public,предметный термин,2,2,0,Бенгальский стихотворный размер пояр и его разновидности | О джатакаставе как разновидности буддийского гимна
рай,рай,public,предметный термин,2,1,1,"Рай Амитабхи в традиции школы ньигма | Перевод Г.С.Лебедевым поэмы Бхарат Чондро Рая «Биддешундор» (по рукописи, хранящейся в РГИА). Предварительное сообщение"
ранневедийский,ранневедийский,public,предметный термин,2,0,2,Об интерпретационном коде ранневедийской литературы (вед. śatabhuji) | Śradīḥ púraḥ: ранневедийский текст и ритуал
раскалить,раскалить,public,предметный термин,2,1,1,Ордалия раскаленной монетой (taptamàşa): текст и реальность | Ордалия раскаленной монетой: шастрический текст и «свидетельства» испытаний
реалия,реалия,public,предметный термин,2,0,2,Жизнь и реалии Кумаона в народных песнях-ньоли | Текст в контексте: образ идеального сикхского правителя в кодексе Прем Сумараг в позднесредневековых панджабских реалиях
реминисценция,реминисценция,public,предметный термин,2,2,0,Реминисценции мифа Вала в припамирском регионе | Литературные реминисценции в «Гаудавахо» Вакпатираджи
репрезентация,репрезентация,public,предметный термин,2,2,0,Репрезентация образа адиваси в популярном индийском кинематографе | Современное искусство адиваси: некоторые особенности музейной репрезентации в Индии и Европе
рецепция,рецепция,public,предметный термин,2,0,2,Рецепция Маджджхима-никаи в рукописях Э. Гуссерля | Рецепция тантрического текста в совеременной культуре: случай Аллена Гинзберга
решение,решение,public,предметный термин,2,1,1,Найти нормативную этику в традиционных текстах: сверхзадача и её решение мыслителями Бенгальского Возрождения. | Проблемы датировки трактата Бхамахи и пути ее решения
риторика,риторика,public,предметный термин,2,2,0,Диалоги в ранних Упанишадах: от агона к риторике | Древнеиндийская риторика и традиция санскритского театра (Тригата в «Натьяшастре»)
риторический,риторический,public,предметный термин,2,0,2,Ирония: «риторическая фигура» в Североиндийской поэзии бхакти | Риторический вопрос и его функция в индийской средневековой поэзии бхакти
рог,рог,public,предметный термин,2,0,2,Почему у монаха-дигамбара рог на голове? Попытка интерпретации одной строфы из философского диспута в прахасане «Латакамелака» | Дидактика и символика в тибетской литературе (на примере «Песни о роге яка» из собрания «сто тысяч песен Миларепы»)
роспись,роспись,public,предметный термин,2,2,0,О некоторых особенностях росписей осакотхи (штат Орисса) | Живая традиция ритуальных росписей Питхоро в Гуджарате: полевые данные 2012 г
российский,российский,public,предметный термин,2,1,1,Вклад Ю.Н. Рериха в историю российских экспедиций в Центральную Азию. К 100-летию начала Центрально-Азиатской экспедиции Н.К. Рериха | Российская экспедиция в Ассам 1911-1912 гг
руднев,руднев,public,предметный термин,2,2,0,Г*. (Санкт-Петербург). Семья Рудневых как собиратели коллекций для МАЭ РАН | Д. Д. Руднев как радетель пополнения коллекций МАЭ РАН
рудрый-шивый,рудрый-шивый,public,предметный термин,2,1,1,Становление культа Рудры-Шивы по древнеиндийским священным текстам традиции шрути: от мифологемы к философскому принципу | Об эволюции образа Рудры-Шивы в священных текстах шрути
рукописный,рукописный,public,предметный термин,2,2,0,Коллекция индийских рукописей рукописного фонда библиотеки СПбГУ | Древний тибетский сборник текстов по культам Махакалы и Вишну из рукописной коллекции ИВР РАН
сам,сам,public,предметный термин,2,1,1,«Город победы» Рушди — ответ «Рамаяне» самого скандального автора 20 столетия | Танец суфийских дервишейволчков ритуала «сама» и сакральный «танец вихря» (fr. dance vertige) «Мистерии» А.Н. Скрябина
самопожертвование,самопожертвование,public,предметный термин,2,2,0,Палийская и санскритские версии сюжетов о самопожертвовании бодхисатвы-зайца | Психология акта самопожертвования в изображении драматургов 7-го века
санкт-петербург,санкт-петербург,public,предметный термин,2,2,0,Златоликие образы Дипанкары Будды и традиция проведения фестиваля Самьяк маха дана в Патане. Шишова-Маретина Ксения Александровна (Санкт-Петербург). Архетип опасной женственности в индуизме | Г*. (Санкт-Петербург). Семья Рудневых как собиратели коллекций для МАЭ РАН
санкхие,санкхие,public,предметный термин,2,2,0,Эпическая санкхья в беседе царя Джанаки и отшельницы Сулабхи (МБХ 12.308) | Учение санкхьи в «Брихадараньяка-упанишаде»
санскритизация,санскритизация,public,предметный термин,2,1,1,Санскритизация перформанса: преобразования традиций Bhūta-kolam (Тулунаду) и Chhau (Орисса) | Санскритизация и философские проблемы языковой политики
санча,санча,public,предметный термин,2,2,0,Предание в тексте и предание в камне: сюжет просветления Будды на рельефе Большой Ступы в Санчи | Конь без всадника и дерево джамбу: к интерпретации рельефа на восточных воротах Большой Ступы в Санчи
сат-чит-ананд,сат-чит-ананд,public,предметный термин,2,2,0,Сат-чит-ананда как мост между христианством и индуизмом | Истоки формулы сат-чит-ананда в Упанишадах
саттрия,саттрия,public,предметный термин,2,1,1,Саттрия: рождение нового индийского классического танца в Ассаме Лаборатория «Театрика» (Москва – С.-Петербург). Видеоматериал по традиции чхоу | «Саттрия: опыт создания классического танца в современном Ассаме»
саутрамань,саутрамань,public,предметный термин,2,1,1,"Сура vs. сома в жертвоприношении Саутрамани: мифы, ритуальные действия, мантры | (НИ, Москва). Сура (surā) в ведийских ритуалах Ваджапея и Саутрамани"
сбой,сбой,public,предметный термин,2,0,2,Предварительные замечания к проблеме речевого сбоя в древнеиндийской теории драмы | Феномен речевого сбоя как средство художественной выразительности в структуре классической санскритской драмы
свидетельство,свидетельство,public,предметный термин,2,0,2,«Парамаартхасара» Абхинавагупты: руководство по обретению «сингулярности» или свидетельство о невозможности бытия Бога (Бытия/Бога) | Ордалия раскаленной монетой: шастрический текст и «свидетельства» испытаний
свиток,свиток,public,предметный термин,2,2,0,Неварский «повествовательный свиток» на темы «Лалитавистары»: «одомашнивание» классической буддийской сутры | Неварский «повествовательный свиток» в собрании МАЭ РАН (коллекция И. П. Минаева). Предварительное сообщение
свой,свой,public,предметный термин,2,1,1,Индийские истоки и источники философствования Р. Тагора: «Садхана» как опыт объяснения Своего Другому | Отражение оппозиции «свой – чужой» в традиционных представлениях о землепользовании кочевников Центральной Азии
северный,северный,public,предметный термин,2,2,0,Мифологии северных мунда как источник для реконструкции сюжета создания человека у населения евразийских степей в эпоху бронзы C | «Мадхан-кам» – народная драма Северной Бенгалии (с демонстрацией видеоматериалов)
сегодня,сегодня,public,предметный термин,2,1,1,"Mārganātyam. Театральная практика и теория «Натьяшастры» сегодня | Анкхья-нат: обряд и драма средневекового Ассама, и их возрождение сегодня"
сера,сера,public,предметный термин,2,1,1,Буддийский Ренессанс в Южной Азии конец XIX – сер. XX века: история и перспективы | Индийские нумерационные системы. По материалам трактата Махавирачарьи «Собрание основных положений науки о вычислениях» (сер. IX в.)
сериндийский,сериндийский,public,предметный термин,2,2,0,Неатрибутированный санскритский фрагмент SI 3480 из Сериндийского фонда ИВР РАН | Санскритский фрагмент «Артхавинишчая-сутры» из Сериндийского фонда ИВР РАН
сиддх,сиддх,public,предметный термин,2,1,1,«История Тирумулара»: биография бхакта и биография сиддха | «Сумеречный язык» в поэзии тамильских сиддхов
сиддхам,сиддхам,public,предметный термин,2,2,0,Тангутские ксилографы письмом ‘сиддхам’ из собрания ИВР РАН | Интерпретация символов ‘ом’ и ‘сиддхам’ в мангала-шлоках санскритских рукописей
символизм,символизм,public,предметный термин,2,0,2,Символизм санскритского алфавита (али-кали) в Калачакра-тантре | Символизм десяти воплощений Вишну во внутренней Калачакра-тантре
сингальский,сингальский,public,предметный термин,2,2,0,"О сюжетах по джатаке Махаджанака в сингальской коллекции МАЭ | У сингальских мастеров по дереву (Шри Ланка, осень 2014 г.)"
ситуация,ситуация,public,предметный термин,2,0,2,Социоскрипторная ситуация в Древней Индии | Ситуация ухода героя в классической тамильской поэзии
сказитель,сказитель,public,предметный термин,2,1,1,"Из истории фиксации традиционного сказителя хобуксарких ойратов Аримпиля (1923–1994) | Сказители, музыканты и танцоры. К вопросу о происхождении и кастовой дхарме так называемых катхаков Раджастхана"
скальный,скальный,public,предметный термин,2,1,1,Эволюция архитектуры джайнских пещерных храмов Махараштры в контексте скального зодчества Индии | Джайнские пещерные храмы Махараштры в контексте развития скальной архитектуры Индии
скифский,скифский,public,предметный термин,2,0,2,"Скифский язык, топонимы Скифии и Центральной Азии, индоевропейские языки: культурные заимствования из Индии и культур древнего Понта Эвксинского | Скифские слова в Авесте"
скот,скот,public,предметный термин,2,2,0,Тема угона скота (veṭci) в древнетамильской поэзии и литературной теории | Индоевропейская формула «храни мужей и скот» в ведийских и постведийских текстах
скотоводческий,скотоводческий,public,предметный термин,2,2,0,«Коровьи войны» (на материале скотоводческого эпоса народов Центральной Индии и Декана) | О быках и людях (Образ «Стада» в скотоводческом эпосе Южной Индии)
сложение,сложение,public,предметный термин,2,1,1,Этапы сложения имперской идеологии у средневековых монголов | Иконографические типы бронзовых образов Натараджи: их сложение и проблемы классификации
смысловой,смысловой,public,предметный термин,2,2,0,"Начальный сюжет в житийной литературе раннего буддизма, его вариативность и смысловое наполнение | Форма смыслового глагола в модальных конструкциях возможности/способности в хинди"
сновидение,сновидение,public,предметный термин,2,0,2,Сновидение в древнеиндийских философских текстах | Проблема сновидения и «ошибочные действия» в натаке Бхасы «Свапнавасавадатта»
собиратель,собиратель,public,предметный термин,2,2,0,Г*. (Санкт-Петербург). Семья Рудневых как собиратели коллекций для МАЭ РАН | И. П. Минаев как собиратель рукописей
собственный,собственный,public,предметный термин,2,2,0,Борьба за собственный язык в Ладакхе (на материале полевых исследований) | Борьба за собственный язык в Ладакхе
сооружение,сооружение,public,предметный термин,2,2,0,К вопросу о классификации храмовых сооружений в Вишнудхармоттара-пуране | Типология храмовых сооружений в текстах пуран и «Брихатсамхите»
сопоставление,сопоставление,public,предметный термин,2,2,0,Монистический теизм (адвайта-ишваравада) Абхинавагупты в сопоставлении с ишваравадой адвайты Шанкары на материале их комментариев к «Бхагавадгите». | Другой в традиции индуизма и философии Бенгальского Возрождения: Опыт сопоставления
состояние,состояние,public,предметный термин,2,2,0,Трактовка состояний удрученности и умопомешательства в буддийских экзегетических источниках | «Юный» как представитель измененного состояния сознания
спать,спать,public,предметный термин,2,0,2,Стиль кавья в двух описаниях спящего гарема – в «Рамаяне» и в «Жизни Будды» Ашвагхоши | О значении пал. sutta (p.p. от supati «спать») в медитации осознанности (сатипаттхана)
спор,спор,public,предметный термин,2,0,2,Европейская феноменология и буддизм в свете спора представителей кашмирской школы Пратьябхиджня с буддистами | Спор Абхинавагупты и Утпаладевы с буддистами в первой части «Ишварапратьябхиджня-вимаршини»
спхота,спхота,public,предметный термин,2,2,0,"Спхота, джати, пашьянти и пратибха в «Вакьяпадии» — к проблеме разграничения терминов | Концепция спхоты в «Спхотасиддхи» Манданамишры"
становление,становление,public,предметный термин,2,1,1,Становление культа Рудры-Шивы по древнеиндийским священным текстам традиции шрути: от мифологемы к философскому принципу | Некоторые проблемы становления вишишта-адвайты
старец,старец,public,предметный термин,2,0,2,"Некоторые особенности культа Белого старца в Сиккиме. (доклад онлайн) | Белый Старец. Танка из коллекции Кабинета Юрия Рериха (ИВ РАН, Москва)"
статуя,статуя,public,предметный термин,2,0,2,Еще раз к вопросу о сандаловой статуе Будды | Обряд освящения статуи (адхивасана) и его роль в текстах по строительству (вастувидье) в пуранах
стенопись,стенопись,public,предметный термин,2,0,2,Планиметрические модели тела человека в санскритских трактатах по искусству и в стенописи Аджанты | «Цветомыслие» в Древней Индии (вербальный текст и стенопись)
